Pname,ExpirationDate,strength,DrugInteraction,AmountAvailable
Lien Cichorium,2021-09-19,10mg,Hydroxyzine Hydrochloride,604
Shagbark Hickory,2021-11-26,50mg,Degree for Men Cool Rush,218
Citalopram Hydrobromide,2021-02-18,200mg,Plavix,293
Methotrexate,2021-11-10,100mg,Aspirin,245
RECTICARE,2021-03-08,200mg,Robaxin,962
oxaliplatin,2021-05-20,50mg,Dandruff,779
ARNICA PLUS,2021-10-10,100mg,Zosyn,400
Dramamine Less Drowsy,2021-07-30,20mg,Antibacterial Hand Sanitizer,22
Tramadol hydrochloride and acetaminophen,2021-10-08,100mg,PainDefense,837
Naloxone Hydrochloride,2021-04-09,20mg,Ibuprofen,98
Being Well Extra Strength Menthol Heat,2021-04-09,25mg,Etodolac,68
Hemorrhoidal,2021-09-18,5mg,Levetiracetam,476
Prednisone,2020-12-24,10mg,Oxygen,139
Chestnut,2021-04-27,200mg,Eczemol,764
Aspirin,2021-05-19,10mg,Linkus Lozenges,679
diaCare Childrens Decongestant,2021-02-17,50mg,Diltiazem Hydrochloride,443
BP Wash,2021-07-29,5mg,Loperamide Hydrochloride,803
Pentazocine and naloxone,2021-04-28,25mg,Ultimate Daily Face Wash,147
GenTeal,2021-09-27,200mg,IOPE RETIGEN MOISTURE BASE NATURAL YELLOW,621
MUCOR PLUMBEUS,2021-04-19,10mg,Opalescence Plus,669
Smart Sense Ranitidine,2021-11-09,50mg,Ibuprofen,896
Sun Headache Rheumatism,2021-03-26,200mg,Equate Nasal Decongestant PE,974
citalopram hydrobromide,2021-05-28,25mg,CENTER-AL - PHLEUM PRATENSE POLLEN,64
Exametazime,2021-10-04,50mg,Trifluoperazine Hydrochloride,898
womens laxative,2020-12-18,500mg,ZESTORETIC,531
Wingscale,2021-03-27,500mg,ropinirole hydrochloride,578
Para Grass Pollen,2021-10-10,20mg,Prochlorperazine Edisylate,98
Pyrithione Zinc,2021-03-27,10mg,Diltiazem Hydrochloride,430
clindamycin phosphate,2021-06-08,10mg,Levothyroxine Sodium,88
pain relief cold,2021-11-12,500mg,Mirtazapine,888
Lil Goats Zinc Oxide,2021-07-26,15mg,Loperamide Hydrochloride,146
Up and Up Ibuprofen,2021-02-13,25mg,EMBEDA,313
TEV-TROPIN,2020-12-12,100mg,NEO-POLY-BAC,346
Baclofen,2021-05-22,20mg,Lovastatin,655
Hangover Relief,2021-05-07,25mg,Medi First Plus Aspirin,90
Cotton,2021-07-23,100mg,Lexapro,617
Diazepam,2021-09-12,50mg,Humco Calagesic,122
erythromycin,2021-03-13,200mg,Guanfacine Hydrochloride,176
Lidocaine Viscous,2021-02-13,100mg,equaline ibuprofen,840
PROCRIT,2021-05-17,25mg,FLOVENT,310
Childrens Pain Reliever,2021-01-16,500mg,Primidone,274
Cedar Elm,2021-09-27,500mg,TOPIRAMATE,915
AMOXICILLIN,2021-02-08,5mg,Wheezing HP,782
Alvesco,2021-04-20,10mg,Nabumetone,952
miconazole 1,2021-05-13,10mg,MEDI-PATCH,932
Hand Antibacterial Premium,2021-02-23,5mg,Hizentra,226
Stratuscare Antacid And Antigas,2021-08-22,20mg,CYBERWHITE HD BB ADVANCED BRIGHTENING BROAD SPECTRUM SPF 50,204
TOPROL,2021-10-07,20mg,equate allergy relief,617
Golden Sunshine Far Infrared HOT Herbal,2021-03-08,500mg,Para-Chord,271
Cymbalta,2021-07-04,5mg,PROMETHAZINE HYDROCHLORIDE,485
Broncofin,2021-01-07,10mg,Helium Oxygen Mixture,118
Leader Enema,2021-01-10,15mg,Aveeno Active Naturals Clear Complexion BB,579
ELF Conceler Pencil and Brush,2021-09-16,15mg,Bismuth,48
Stool Softener,2021-11-02,15mg,Berberis Urtica,247
Horse Epithelia,2021-01-20,100mg,THE RADIANT CONCEALER,941
traveler spf15,2021-11-17,100mg,DiorSkin Nude 050 Cafe Moka,805
Clomipramine Hydrochloride,2021-06-18,25mg,Gabapentin,307
Clindagel,2021-07-06,500mg,Mucor racemosus,123
PROPOLIS 90 AMPOULE,2021-08-22,50mg,LBEL MAXIMUM COMFORT AND LONG-LASTING FOUNDATION SPF 10,553
Exchange Select Allergy Relief,2021-06-15,10mg,Captopril,808
Hydroxyzine Pamoate,2021-01-08,500mg,Cold Multi-Symptom,105
CRANBERRY,2021-06-14,25mg,Pravastatin Sodium,828
NEO-POLYCIN,2021-10-15,50mg,fexofenadine hydrochloride,441
Lidocaine Hydrochloride,2021-08-15,15mg,Pain Reliever PM Extra Strength,184
EXENCE WHITE,2021-10-10,20mg,Sure,789
OMNI,2021-07-18,100mg,Glipizide,704
DOLORACIN/L RX,2021-03-28,100mg,DawnMist Antiperspirant Deodorant,296
Ice Quake,2021-05-01,200mg,AMITRIPTYLINE HYDROCHLORIDE,729
No7 Lift and Luminate Foundation Sunscreen Broad Spectrum SPF 15 Calico,2021-05-07,15mg,Antiseptic Cleansing Wipes,562
Lisinopril,2021-09-17,25mg,SULPHUR,873
Norgestrel/Ethinyl Estradiol,2021-04-24,5mg,RABBIT,881
Diphenhydramine Hydrochloride,2021-04-09,25mg,HUMCO Isopropyl Rubbing Alcohol 70% Professional Pack,830
Cefuroxime Axetil,2021-03-12,100mg,Dextrose,762
Isosorbide Dinitrate,2021-04-14,10mg,Exchange Select Sport Sunscreen,621
Sprains Strains,2021-10-12,25mg,Bio Scleranthus,240
Ibuprofen,2021-03-17,15mg,Assured,32
Exchange Select Sport Sunscreen,2021-01-15,50mg,Escitalopram,586
venlafaxine,2021-11-05,500mg,Allergy Relief,689
Pure Finish Mineral Powder Foundation SPF 20 Pure Finish 10,2021-06-29,200mg,Conquest,910
Hydralazine Hydrochloride,2021-06-30,200mg,CACTUS,384
ESIKA,2021-04-26,10mg,Utah Juniper,309
Warfarin Sodium,2021-07-11,15mg,Ondansetron,297
FENTANYL CITRATE,2021-03-11,20mg,Venlafaxine Hydrochloride,956
albuterol sulfate,2021-08-24,10mg,Avalide,315
FORANE,2021-09-17,25mg,Aquafresh,344
REVITALIZING C I2PL MASK,2021-03-30,50mg,Compulsin,11
AHC Premium Intense Contour Balm,2021-04-03,100mg,Rhubarb,259
Diazepam,2021-03-17,20mg,Triamterene and Hydrochlorothiazide,648
SUNSHINY DAY SCENTED HAND SANITIZER,2021-09-15,15mg,Desmopressin Acetate,985
ChapStick Classic Cherry,2021-10-01,25mg,Ifosfamide,858
Atorvastatin Calcium,2021-01-11,20mg,Pear,859
"Dextroamphetamine saccharate, amphetamine aspartate, dextroamphetamine sulfate, and amphetamine sulfate",2021-01-15,200mg,Fluphenazine Hydrochloride,120
Hydroquinone,2021-04-01,500mg,Vichy Laboratoires Normaderm Pro Mat,279
Senna-S Laxative,2021-05-31,15mg,Lip Protector Sunscreen SPF15,540
G-12,2021-09-12,10mg,Topcare Stomach Relief,437
topcare hemorrhoidal cooling,2021-07-10,5mg,Medi First Plus Antacid,116
CYPROHEPTADINE HYDROCHLORIDE,2021-01-30,20mg,OXYCODONE HYDROCHLORIDE,631
Levothyroxine sodium,2021-05-23,20mg,Dual Action Complete,647
Topiramate,2021-10-17,10mg,Clopidogrel bisulfate,155
Opana,2021-07-27,25mg,Mens Mitchum Advanced Invisible,653
Clolar,2021-10-28,50mg,DOXOrubicin Hydrochloride,967
Nabumetone,2021-04-11,15mg,Bisoprolol Fumarate and Hydrochlorothiazide,594
Anti-Bacterial Hand,2021-03-08,20mg,Mango,407
Morning Sickness Relief,2021-09-30,200mg,ESIKA,469
Lucky,2021-06-03,25mg,LEVORPHANOL TARTRATE,844
ARTHROTEC,2021-01-18,200mg,Lansoprazole,69
Loratadine and Pseudoephedrine Sulfate,2021-01-11,500mg,Differin,206
KIDS CHOICE,2021-10-22,10mg,Ibuprofen,690
Benazepril Hydrochloride,2021-06-11,500mg,Stoko Refresh Food Handler Foam,578
Kiehls Since 1851 Dermatologist Solutions Acne Blemish Control Daily Skin Clearing Treatment,2021-06-14,15mg,Quetiapine Fumarate,297
XANTHIUM STRUMARIUM VAR CANADENSE POLLEN,2021-09-16,100mg,Lamotrigine,180
Depakote,2021-04-21,500mg,Ondansetron Hydrochloride,426
"Food - Fish and Shellfish, Salmon Salmo salar",2021-01-07,50mg,Ondansetron Hydrochloride,384
Prochlorperazine Maleate,2021-02-27,50mg,70% Rubbing,323
hemorrhoidal relief,2021-08-17,10mg,All Day Pain Relief,278
Kochia,2021-02-20,500mg,Metformin Hydrochloride,835
HYDROXYZINE PAMOATE,2021-03-07,25mg,ESIKA Extreme Moisturizing SPF 16,38
Personal Care Oil Free Foaming Facial Cleanser,2021-09-19,10mg,Finasteride,253
Metformin Hydrochloride,2021-10-10,100mg,Kapok,800
ConZip,2021-07-31,25mg,Namenda,588
Standardized Sweet Vernal Grass Pollen,2021-02-15,50mg,Inderal,312
ORCHID SECRET BASE,2021-11-12,10mg,Divalproex Sodium Extended-Release,852
Short Ragweed,2021-01-28,500mg,Mirtazapine,940
Cough and Cold HBP,2021-06-30,500mg,Fluvoxamine Maleate,189
Lactulose,2021-09-05,50mg,OHUI Sun Science intensive sunblock cake EX,343
Mirtazapine,2021-08-27,100mg,CLEAR ACTION,766
"Molds, Rusts and Smuts, Pullularia pullulans",2021-04-24,10mg,Topcare Headache PM Formula,451
Age Defense BB Cream,2021-01-09,20mg,CLE DE PEAU BEAUTE PW FOUNDATION s,238
GO TIME,2021-10-09,200mg,Piperacillin and Tazobactam,180
sunmark pain reliever,2020-12-07,20mg,Naratriptan,358
Dopamine Hydrochloride,2021-10-02,20mg,Sensitive,834
Ciclopirox,2021-08-20,100mg,ARIXTRA,24
Childrens Pain Relief,2021-03-30,500mg,Morphine Sulfate,936
"SODIUM SULFACETAMIDE, SULFUR",2021-02-14,100mg,ALPHAGAN P,478
Longleaf Pine,2021-07-14,20mg,CLARINS Skin Illusion SPF 10 Natural Radiance Foundation Tint 109,343
Medi-Scrub,2020-12-22,100mg,Estradiol,93
Allergy,2021-01-04,10mg,DG BODY,84
Nicardipine Hydrochloride,2021-09-15,500mg,Latanoprost,720
Apis Mell.,2021-03-26,15mg,Lamotrigine,412
Citrus Hand Sanitizer with vitamin E and aloe,2021-10-30,20mg,Hi-Tech,628
Anti-Bacterial Hand,2021-04-26,50mg,"Food - Plant Source, String Bean Mix",316
Australian Gold,2021-04-19,20mg,Glyburide,376
Oxygen,2021-01-26,500mg,SIMPLY RIGHT,64
WEIGHT CONTROL SUPPORT,2021-07-11,500mg,Treatment Set TS349931,967
Azithromycin Dihydrate,2021-10-31,100mg,DUREZOL,874
ACTEMRA,2021-11-25,5mg,Carbamazepine,410
Cromolyn Sodium,2021-09-17,5mg,Desloratadine,999
Colgate Triple Action Original Mint Fluoride,2021-08-05,200mg,Lamivudine,427
CORGARD,2021-03-21,25mg,Pullularia,36
Nephroplex,2020-12-14,5mg,Pramipexole,107
Antacid Antigas,2021-07-06,10mg,Gentak,391
Good Sense Nicotine,2021-10-10,15mg,Nifedipine,78
Laxative Pills,2021-02-11,20mg,topiramate,442
Curad Alcohol,2021-04-24,200mg,sunmark ibuprofen pm,867
"Acetaminophen, Diphenhydramine Hydrochloride, Phenylephrine Hydrochloride",2021-10-06,15mg,Kaopectate Regular Strength Vanilla Flavor Anti Diarrheal,110
gentle lax,2020-12-14,5mg,Sprayable Energy,223
Nighttime,2021-03-06,5mg,Fluphenazine Hydrochloride,278
benzonatate,2021-05-02,20mg,Childrens Ibuprofen,282
Lamotrigine,2021-10-05,10mg,Xeloda,634
no drip,2021-01-01,25mg,Leader Aspirin,975
Nasal,2021-03-28,50mg,H-Arthritis Formula,174
NEO-POLYCIN,2021-05-03,20mg,Adrenapath,283
Skin Soothing Mineral Sunscreen Broad Spectrum SPF 40,2021-02-22,10mg,Pravastatin Sodium,216
Stool Softener,2020-12-20,5mg,Coppertone Sport Continuous,939
REYATAZ,2021-01-28,25mg,PreviDent,888
Riluzole,2021-12-01,20mg,meijer,774
Terbinafine Hydrochloride,2021-06-27,25mg,Western Wheatgrass,534
Fenofibrate,2021-01-20,5mg,Estradiol,28
INSTANT Hand Sanitizer Extra Enriched With Vitamin E Lemon Fresh Scent,2021-03-01,50mg,NovoLog Mix 70/30,28
BareMinerals Medium Matte,2021-09-18,10mg,PNV-Select,834
oxycodone hydrochloride,2021-05-29,20mg,Pyril D,327
Citalopram Hydrobromide,2021-01-15,200mg,Lenscale Quailbrush,490
Direct Safety Aspirin Free,2021-06-18,50mg,care one enema,98
Childrens Ibuprofen,2021-03-05,200mg,Chlorothiazide,229
Lorazepam,2021-07-06,500mg,PLACENTA EX DAY,238
Hydrocodone Bitartrate and Acetaminophen,2021-07-05,5mg,Fentanyl Citrate,66
Carvedilol,2021-03-01,100mg,Abacavir Sulfate,500
AKNETROL Acne Treatment,2020-12-21,500mg,Aquavit 1,162
Cetirizine Hydrochloride,2021-06-05,500mg,CAPTOPRIL,172
Iodine Formula Filled Swab,2021-11-06,5mg,Extra Strength Backache Relief,120
Lyrica,2021-06-25,50mg,Colgate,499
